"source","qmd","url","title","subtitle","date","excerpt","image","publication_state","permalink","category","tags","archived_rmd","hidden_chunks"
"archive/generated-markdown/2011-06-14-embedding-a-time-series-with-time-delay-in-r-part-ii.md","2011/06/14/embedding-a-time-series-with-time-delay-in-r-part-ii/index.qmd","/2011/06/14/embedding-a-time-series-with-time-delay-in-r-part-ii/","Embedding a time series with time delay in R &mdash; Part II","","","","","publish;TRUE","/2011/06/14/embedding-a-time-series-with-time-delay-in-r-part-ii/","R","Embed|Time delay|Time series",FALSE,0
"archive/generated-markdown/2011-06-14-no-lake-is-an-island-phd-opportunity.md","2011/06/14/no-lake-is-an-island-phd-opportunity/index.qmd","/2011/06/14/no-lake-is-an-island-phd-opportunity/","No lake is an island: PhD Opportunity","","","[NERC](http://www.nerc.ac.uk 'NERC Website') recently funded the formation of the UK Lake Ecological Observatory Network (UKLEON) as part of the its [Networks of Sensors](http://www.nerc.ac.uk/research/programmes/nos/ 'NERC Networks of Sensors home page') programme. UKLEON is led by [Ian Jones](http://www.ceh.ac.uk/staffwebpages/IanJones.html 'Ian Jones&#8217; staff page') at [CEH](http://www.ceh.ac.uk 'CEH Website') [Lancaster](http://www.ceh.ac.uk/sites/lancaster.html 'CEH Lancaster'). A fully-funded PhD project is associated with the UKLEON project, with the aim of investigating high resolution coherence in lake dynamics.","","publish;TRUE","/2011/06/14/no-lake-is-an-island-phd-opportunity/","science","environmetrics|limnology|R|UKLEON",FALSE,0
"archive/generated-markdown/2011-07-21-smoothing-temporally-correlated-data.md","2011/07/21/smoothing-temporally-correlated-data/index.qmd","/2011/07/21/smoothing-temporally-correlated-data/","Smoothing temporally correlated data","","","Something I have been doing a lot of work with recently are time series data, to which I have been fitting additive models to describe trends and other features of the data. When modelling temporally dependent data, we often need to adjust our fitted models to account for the lack of independence in the model residuals. When smoothing such data, however, there is an additional problem that needs to be addressed when we are determining the complexity of the fitted smooths as part of the model fit.","","publish;TRUE","/2011/07/21/smoothing-temporally-correlated-data/","R","R|Time series|Smoothing|Additive models",FALSE,0
"archive/generated-markdown/2011-07-23-passing-non-graphical-parameters-to-graphical-functions-using.md","2011/07/23/passing-non-graphical-parameters-to-graphical-functions-using/index.qmd","/2011/07/23/passing-non-graphical-parameters-to-graphical-functions-using/","Passing non-graphical parameters to graphical functions using ...","","","Argument passing via `...` is a great feature of the R language, allowing you to write wrappers around existing functions that do not need to list all the arguments of the wrapped function. `...` is used extensively in S3 methods and in passing graphical parameters on to graphical functions. When writing you own plot methods, using `...` allows the user of your function to pass arguments like `cex`, `col`, `lty`, etc. on to the plotting function inside your method. You do, however, need to be careful in where you use `...` and which functions you pass `...` on to.","","publish;TRUE","/2011/07/23/passing-non-graphical-parameters-to-graphical-functions-using/","R","R|Programming|Functions",FALSE,0
"archive/generated-markdown/2011-10-04-permute-a-package-for-generating-restricted-permutations.md","2011/10/04/permute-a-package-for-generating-restricted-permutations/index.qmd","/2011/10/04/permute-a-package-for-generating-restricted-permutations/","permute: a package for generating restricted permutations","","","Multivariate ordination methods are commonly used in ecology to investigate patterns in species composition in space or time. Constrained ordination methods such as redundancy analysis (RDA) and canonical correspondence analysis (CCA) are effectively just multiple regressions, but we lack the parametric theory to adequately test the statistical significance of terms in the model. Other techniques likewise lack the appropriate theory, such as the Mantel test, vector fitting into ordination space, among many others.","","publish;TRUE","/2011/10/04/permute-a-package-for-generating-restricted-permutations/","R","Ecology|Environmetrics|Ordination|Permutation tests|permute|R|vegan",FALSE,0
"archive/generated-markdown/2011-10-18-generating-restricted-permutations-with-permute.md","2011/10/18/generating-restricted-permutations-with-permute/index.qmd","/2011/10/18/generating-restricted-permutations-with-permute/","Generating restricted permutations with permute","","","","","publish;TRUE","/2011/10/18/generating-restricted-permutations-with-permute/","R","Permutation tests|permute|R|randomisation|Restricted permutations|Spatial grids|Time series",FALSE,0
"archive/generated-markdown/2011-12-05-agu-fall-meeting-2011-day-0.md","2011/12/05/agu-fall-meeting-2011-day-0/index.qmd","/2011/12/05/agu-fall-meeting-2011-day-0/","AGU Fall Meeting 2011 Day 0","","","This is my first trip to the AGU Fall Meeting. As I write this I am on Level 2 of the [Moscone Center](http://www.moscone.com/ 'Moscone Center') (West), San Francisco, USA, having spent the past hour or so finalising my talk for tomorrow.","","publish;TRUE","/2011/12/05/agu-fall-meeting-2011-day-0/","science","AGU|AGU 2011|Conferences|Science",FALSE,0
"archive/generated-markdown/2011-12-06-agu-fall-meeting-day-1-or-the-day-i-gave-my-talk.md","2011/12/06/agu-fall-meeting-day-1-or-the-day-i-gave-my-talk/index.qmd","/2011/12/06/agu-fall-meeting-day-1-or-the-day-i-gave-my-talk/","AGU Fall Meeting Day 1 (or the day I gave my talk)","","","Yesterday (it is now morning on day 2) was the first proper day of the Fall Meeting. My fellow meeting attendees certainly need their coffee; between my hotel and the Moscone I passed about five Starbucks stores, each of which sported a long queue of poster tube-bearing or lanyard-wearing individuals desperate for a cup of joe.","","publish;TRUE","/2011/12/06/agu-fall-meeting-day-1-or-the-day-i-gave-my-talk/","science","AGU|AGU 2011|Biomarker|Barbon|Conferences|Isotope|Mercury|Methylmercury|Modelling|Nitrate|Nitrogen|Science",FALSE,0
"archive/generated-markdown/2011-12-08-agu-fall-meeting-day-2.md","2011/12/08/agu-fall-meeting-day-2/index.qmd","/2011/12/08/agu-fall-meeting-day-2/","AGU Fall Meeting Day 2","","","[![English: Colored flags flying high outside the Moscone Center](https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flags_Moscone_Center.jpg/300px-Flags_Moscone_Center.jpg 'English: Colored flags flying high outside the Moscone Center')](https://commons.wikipedia.org/wiki/File:Flags_Moscone_Center.jpg)

 One of the problems of trying to blog a conference when you are going to session talks and socialising in the evening is keeping up to date with your blogging. Day 2 was a little slower in regard to talks and I was able to pick to some degree.","","publish;TRUE","/2011/12/08/agu-fall-meeting-day-2/","R","AGU|AGU 2011|Climate Change|Communicating science|Conferences|Nitrate|Nitrogen|Science",FALSE,0
"archive/generated-markdown/2011-12-09-agu-fall-meeting-day-3-wednesday.md","2011/12/09/agu-fall-meeting-day-3-wednesday/index.qmd","/2011/12/09/agu-fall-meeting-day-3-wednesday/","AGU Fall Meeting Day 3 (Wednesday)","","","Day 3 was an easier day for me with fewer talks that I wanted to see so I was able to spend a bit of time thinking about work matters and cogitating a bit more on the talks I was listening to. I also spent a large chunk of time in one of the poster sessions, which was very enlightening; it was like an informal talk session with authors presenting their posters ad hoc and groups discussions taking place about the results. (As I write this I have just come from my own poster session and had the same experience; far better than many poster sessions at other meetings.)","","publish;TRUE","/2011/12/09/agu-fall-meeting-day-3-wednesday/","science","AGU 2011|Alaska|American Geophysical Union|Conferences|Moscone Center|Science",FALSE,0
"archive/generated-markdown/2012-01-12-new-version-of-analogue-0-8-0.md","2012/01/12/new-version-of-analogue-0-8-0/index.qmd","/2012/01/12/new-version-of-analogue-0-8-0/","New version of analogue (0.8-0)","","","Yesterday I pushed an update of my [analogue](http://analogue.r-forge.r-project.org/ 'analogue website') package to [CRAN](http://cran.at.r-project.org/web/packages/analogue/index.html 'analogue page on CRAN'). The new version is 0.8-0 and contains some new functions, several bug fixes and a major change arising from additions to R 2.14.x requiring all packages to have a namespace. analogue now has its own namespace rather than relying on the one R would automagically generate if it weren&apos;t provided. 0.8-0 is a moderate update to analogue containing some new functionality, some of which is there for testing/experimentation (like the fancy principal components regression).","","publish;TRUE","/2012/01/12/new-version-of-analogue-0-8-0/","R","analogue|R",FALSE,0
"archive/generated-markdown/2012-01-18-im-on-peer-review-strike.md","2012/01/18/im-on-peer-review-strike/index.qmd","/2012/01/18/im-on-peer-review-strike/","I'm on peer review strike!","","","[![English: Open Access logo and text](https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Open_Access_PLoS.svg/300px-Open_Access_PLoS.svg.png 'Open Access logo and text (Source: www.plos.org)')](https://commons.wikipedia.org/wiki/File:Open_Access_PLoS.svg)

 There has been a lot of discussion on the interweb about the support for legislation in the US by the major academic publishers that would place stifling restrictions on access to Government-funded science outputs published in their journals. In effect, the [Research Works Act](https://en.wikipedia.org/wiki/Research_Works_Act 'Research Works Act at Wikipedia') would hand these same wealthy publishers a licence to print money on the back of tax payer-funded research and the tax payer-funded efforts of the scientists required to peer review the manuscripts.","","publish;TRUE","/2012/01/18/im-on-peer-review-strike/","science","Journals|Open Access|OpenAccess|Peer review|Politics|Publishing|Research Works Act|RWA|Science",FALSE,0
"archive/generated-markdown/2012-03-04-the-cost-of-subscribing-to-academic-journals.md","2012/03/04/the-cost-of-subscribing-to-academic-journals/index.qmd","/2012/03/04/the-cost-of-subscribing-to-academic-journals/","The cost of subscribing to academic journals","","","Much has been written about the Research Works Act [you could do a lot worse than [read](http://svpow.com/2012/01/09/do-your-bit-to-oppose-the-evil-research-works-act/) Saurodpod Mike on the [subject](http://svpow.com/2012/01/09/do-your-bit-to-oppose-the-evil-research-works-act/)], academic publishing and the relationship between the scientists who do most of the work and the publishers who then assert somewhat draconian rights over those works. A [boycott](http://thecostofknowledge.com/ 'Boycott Elsevier Website') of the biggest publisher of them all, [Elsevier](http://www.elsevier.com 'Elsevier'), started to gain a fair degree of traction with almost 8000 scientists having pledge to limit some or all of their interactions with Elsevier and its journals.","","publish;TRUE","/2012/03/04/the-cost-of-subscribing-to-academic-journals/","science","Academic publishing|Elsevier|Open Access|OpenAccess|Publishing|Research Works Act|Science",FALSE,0
"archive/generated-markdown/2012-03-06-i-signed-the-elsevier-boycott-pledge.md","2012/03/06/i-signed-the-elsevier-boycott-pledge/index.qmd","/2012/03/06/i-signed-the-elsevier-boycott-pledge/","I signed the Elsevier boycott pledge","","","","","publish;TRUE","/2012/03/06/i-signed-the-elsevier-boycott-pledge/","science","Boycott|Elsevier|Open Access|Peer review|Publishing|Science",FALSE,0
"archive/generated-markdown/2012-03-28-elsevier-on-open-access-part-1.md","2012/03/28/elsevier-on-open-access-part-1/index.qmd","/2012/03/28/elsevier-on-open-access-part-1/","Elsevier on Open Access part 1","","","In the past few days I've come across two advertorials (articles or editorials if I'm being generous) from Elsevier in the context of newsletters sent to editors and authors. Here I consider the [one sent to editors](http://editorsupdate.elsevier.com/2012/03/copyright-in-an-open-access-world/) that Ross Mounce ([@rossmounce](https://twitter.com/#!/rmounce)) tweeted about earlier today.","","publish;TRUE","/2012/03/28/elsevier-on-open-access-part-1/","science","Budapest Open Access Initiative|CC BY|Copyright|Creative Commons licenses|Elsevier|Open Access|Open access journal|Publishing|Science",FALSE,0
"archive/generated-markdown/2012-03-31-elsevier-on-open-access-part-2.md","2012/03/31/elsevier-on-open-access-part-2/index.qmd","/2012/03/31/elsevier-on-open-access-part-2/","Elsevier on Open Access part 2","","","","","publish;TRUE","/2012/03/31/elsevier-on-open-access-part-2/","science","Budapest Open Access Initiative|CC BY|Creative Commons licenses|Elsevier|Open Access|OpenAccess|Science",FALSE,0
"archive/generated-markdown/2012-04-01-saving-and-loading-r-objects.md","2012/04/01/saving-and-loading-r-objects/index.qmd","/2012/04/01/saving-and-loading-r-objects/","A better way of saving and loading objects in R","","","Hadley Wickham (@hadleywickham) this week mentioned on Twitter his preference for `saveRDS()` over the more familiar `save()`. Being a new function to me, I thought I'd take a look...","","publish;TRUE","/2012/04/01/saving-and-loading-r-objects/","R","R|Data import",FALSE,0
"archive/generated-markdown/2012-04-08-course-analysing-palaeolimnological-data-with-r.md","2012/04/08/course-analysing-palaeolimnological-data-with-r/index.qmd","/2012/04/08/course-analysing-palaeolimnological-data-with-r/","Course: Analysing Palaeolimnological Data with R","","","16th &mdash; 20th August 2012, University Marine Biological Station Millport, Isle of Cumbrae, Scotland.


[Steve Juggins](http://www.staff.ncl.ac.uk/staff/stephen.juggins/) and I will be running a 4-day residential R course to coincide with the [International Paleolimnology Symposium 2012](http://paleolim.org/ips2012/) this August. The course will be held at the [University Marine Biological Station](http://www.gla.ac.uk/centres/marinestation/) [Millport](http://millport.org/) on the [Isle of Cumbrae](http://maps.google.co.uk/maps?hl=en&ix=seb&ion=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.,cf.osb&biw=1680&bih=962&q=isle+of+cumbrae&um=1&ie=UTF-8&hq=&hnear=0x4889bf59c61e9b6d:0x263706b6786736a1,Isle+of+Cumbrae&gl=uk&ei=71eBT8b-G8e_0QXx3_SGBw&sa=X&oi=geocode_result&ct=title&resnum=2&ved=0CC8Q8gEwAQ), within easy reach of Glasgow and the IPS2012 venue.","","publish;TRUE","/2012/04/08/course-analysing-palaeolimnological-data-with-r/","R","analogue|Palaeoecology|Palaeolimnology|R|Science|vegan",FALSE,0
"archive/generated-markdown/2012-04-10-thoughts-on-the-propose-rcuk-policy-on-open-access-to-research-outputs.md","2012/04/10/thoughts-on-the-propose-rcuk-policy-on-open-access-to-research-outputs/index.qmd","/2012/04/10/thoughts-on-the-propose-rcuk-policy-on-open-access-to-research-outputs/","Thoughts on the proposed RCUK policy on Open Access to research outputs","","","Today is the last day of a consultation by [Research Councils UK](http://www.rcuk.ac.uk/) (RCUK) on its draft policy on [Access to Research Outputs](http://www.openscholarship.org/upload/docs/application/pdf/2012-03/rcuk_proposed_policy_on_access_to_research_outputs.pdf) [PDF]. The proposals are a clear and strong statement that RCUK-funded research should be made available via open access (OA). It goes far beyond the current OA offerings from some [publishers](/2012/03/31/elsevier-on-open-access-part-2/ 'Elsevier on Open Access part 2') and represents a welcome statement of support for the OA movement. Where the policy is less strident is on open access to research data and related materials.


I copy my email to RCUK below.","","publish;TRUE","/2012/04/10/thoughts-on-the-propose-rcuk-policy-on-open-access-to-research-outputs/","science","Academic publishing|Budapest Open Access Initiative|Open access journal|OpenAccess|Research Councils UK|Science",FALSE,0
"archive/generated-markdown/2012-04-11-customising-vegans-ordination-plots.md","2012/04/11/customising-vegans-ordination-plots/index.qmd","/2012/04/11/customising-vegans-ordination-plots/","Customising vegan's ordination plots","","","As a developer on the [vegan](http://vegan.r-forge.r-project.org) package for R, one of the most FAQs is how to customise [ordination](http://en.wikipedia.org/wiki/Ordination_(statistics) ""Ordination"") diagrams, usually to colour the sample points according to an external grouping variable. Now, just because we get asked how to do this a lot is not really a reflection on the quality of the `plot()` methods available in vegan.


Ordination diagrams are difficult beasts to handle with plotting code without having an unwieldy number of arguments etc. There are potentially five sets of scores that need to be plotted so the number of arguments could quickly get out of hand if we allowed the user to pass all the relevant graphical parameters to the various sets of scores. We've provided a basic `plot()` method that is set up with useful defaults that works for all the ordination methods in vegan. This method is really there to allow the quick visualisation of the fitted ordination; I use vegan on almost a daily basis and none of my presentation or publication figures use the default plot method at all. However, we have provided all the tools needed to draw custom ordination plots within vegan. How you use them also provides a useful guide to building up base graphics plots from lower-level plotting functions. In this post I intend to show two examples of building up a simple [PCA](http://en.wikipedia.org/wiki/Principal_component_analysis ""Principal component analysis"") [biplot](http://en.wikipedia.org/wiki/Biplot ""Biplot"") from the basic building blocks available in vegan and R's base graphics.","","publish;TRUE","/2012/04/11/customising-vegans-ordination-plots/","R","Biplot|ordination|PCA|Principal component analysis|R|vegan",FALSE,0
"archive/generated-markdown/2012-04-23-quantitative-palaeolimnology-my-book-chapters-are-finally-out.md","2012/04/23/quantitative-palaeolimnology-my-book-chapters-are-finally-out/index.qmd","/2012/04/23/quantitative-palaeolimnology-my-book-chapters-are-finally-out/","Quantitative palaeolimnology: my book chapters are finally out!","","","Today I received confirmation that the delayed [fifth volume](http://www.springerlink.com/content/978-94-007-2744-1/) in the [Developments in Palaeoenvironmental Research](http://www.springerlink.com/content/1571-5299/) series has been published. The book is titled *Data Handling and Numerical methods*, though it covers more of the latter and, IMHO, is far more interesting than the dry title would suggest (who gets excited by *Data Handling*? Well, one or two people perhaps ;-)","","publish;TRUE","/2012/04/23/quantitative-palaeolimnology-my-book-chapters-are-finally-out/","R","analogue|Numerical analysis|Palaeoecology|Palaeolimnology|R|Science|Statistics|vegan",FALSE,0
"archive/generated-markdown/2012-07-17-sometimes-i-am-lost-for-words.md","2012/07/17/sometimes-i-am-lost-for-words/index.qmd","/2012/07/17/sometimes-i-am-lost-for-words/","Sometimes I am lost for words...","","","Following on from yesterday's momentous announcements from UK Government and RCUK on opening up access to research outputs funded by the British tax payer, [John Wiley & Sons](http://www.wiley.com/ 'John Wiley & Sons') Inc. have [announced](http://eu.wiley.com/WileyCDA/PressRelease/pressReleaseId-104139.html) the [Geoscience Data Journal](http://bit.ly/NBJvG7) in partnership with the [Royal Meteorological Society](http://en.wikipedia.org/wiki/Royal_Meteorological_Society 'Royal Meteorological Society'), the Met Office and [NERC](http://www.nerc.ac.uk 'Natural Environment Research Council').","","publish;TRUE","/2012/07/17/sometimes-i-am-lost-for-words/","science","CC BY|geoscience data|John Wiley &amp; Sons|Open Access|OpenAccess|RCUK|Research Council UK|Royal Meteorological Society|Science|UK Government|Wiley",FALSE,0
"archive/generated-markdown/2012-07-24-whats-wrong-with-loess-for-palaeo-data.md","2012/07/24/whats-wrong-with-loess-for-palaeo-data/index.qmd","/2012/07/24/whats-wrong-with-loess-for-palaeo-data/","What's wrong with LOESS for palaeo data?","","","[Locally weighted scatterplot smoothing](http://en.wikipedia.org/wiki/Local_regression) (LOWESS) or local regression (LOESS) is widely used to highlight ""signal"" in variables from stratigraphic sequences. It is a user-friendly way of fitting a local model that derives its form from the data themselves rather than having to be specified *a priori* by the user. There are generally two things that a user has to specify when using LOESS; **&lambda;**  the span or bandwidth of the local window and **&alpha;** the degree of polynomial used in the local regression. Both control the smoothness of the fitted model, with smaller spans and higher degree polynomials giving less-smooth (more-rough) models. Usually it is just the span value that is changed, for expedience.


What can I have possibly against this? What *is* wrong with using LOESS for palaeo data?","","publish;TRUE","/2012/07/24/whats-wrong-with-loess-for-palaeo-data/","R","Autocorrelation|Cross-validation|GCV|LOESS|Overfitting|Palaeoecology|Palaeolimnology|R|Science|Time series",FALSE,0
"archive/generated-markdown/2012-08-15-processing-sample-labels-using-regular-expressions-in-r.md","2012/08/15/processing-sample-labels-using-regular-expressions-in-r/index.qmd","/2012/08/15/processing-sample-labels-using-regular-expressions-in-r/","Processing sample labels using regular expressions in R","","","I am often found in possession of palaeo core data where the sample identifiers contain a core code or label plus the sample depth. Often these are things generated by colleagues who have used other software where for one reason or another they don't want to store the depth information as a separate numeric variable. I also generate such data sets, not because I want to but because the software often supplied with lab equipment (most recent example is the Thermo Flash EA/Delta V I've been running stable N and C isotope measurements on) that records data/measurements using a single character identifier variable.


The information in these labels is useful and I really don't want to type out all the depths again and it's not just because I am lazy; the more times you have to enter data the more opportunities for transcription errors to creep into your work and analysis.","","publish;TRUE","/2012/08/15/processing-sample-labels-using-regular-expressions-in-r/","R","data processing|Palaeoecology|Palaeolimnology|R|regular expression|sediment core",FALSE,0
"archive/generated-markdown/2013-01-04-a-new-version-of-analogue-for-a-new-year.md","2013/01/04/a-new-version-of-analogue-for-a-new-year/index.qmd","/2013/01/04/a-new-version-of-analogue-for-a-new-year/","A new version of analogue for a new year","","","Yesterday I rolled up a new version (0.10-0) of [analogue](http://cran.r-project.org/web/packages/analogue/index.html), my R package for analysing palaeoecological data. It is now available from CRAN. There were lots of incremental changes to `Stratiplot()` to improve the quality of the stratigraphic diagrams produced and fix several annoying bugs. Also the definition of the standard error of MAT reconstructions was fixed; it is essentially a weighted variance but the original version assumed the weights summed to 1, which is not the case for dissimilarities of the *k*-NN. Several new functions and additional functionality were added to the package.","","publish;TRUE","/2013/01/04/a-new-version-of-analogue-for-a-new-year/","R","analogue|Palaeoecology|Palaeolimnology|R|Statistics",FALSE,0
"archive/generated-markdown/2013-01-05-monotonic-deshrinking-in-weighted-averaging-models.md","2013/01/05/monotonic-deshrinking-in-weighted-averaging-models/index.qmd","/2013/01/05/monotonic-deshrinking-in-weighted-averaging-models/","Monotonic deshrinking in weighted averaging models","","","Weighted averaging regression and calibration is the most widely used method for developing a palaeolimnological transfer function. Such models are used to reconstruct properties of the past lake environment such as pH, total phosphorus, and water temperature with, it has to be said, varying degrees of success and usefulness.


In simple weighted averaging (WA) there is little to specify other than the predictors (the species or other proxy data) and the response (the thing you wish to build a model for and predict). The one user-specified option in a simple WA is the type of deshrinking to use.


Why deshrinking?","","publish;TRUE","/2013/01/05/monotonic-deshrinking-in-weighted-averaging-models/","R","analogue|deshrinking|Palaeoecology|Palaeolimnology|R|Statistics|transfer function|weighted averaging",FALSE,0
"archive/generated-markdown/2013-01-11-shading-regions-under-a-curve.md","2013/01/11/shading-regions-under-a-curve/index.qmd","/2013/01/11/shading-regions-under-a-curve/","Shading regions under a curve","","","Over on the [Clastic Detritus blog](http://wp.me/p6FnH-13u), Brian Romans posted a nice introduction to plotting in R. At the end of his post, Brian mentioned he would like to colour in areas under the data curve corresponding to particular ranges of grain sizes. The comment area on a blog isn't really amenable to giving a full answer to the problem posed so I gave a few pointers. Other commenters also suggested solutions.


The problem is how to shade or colour in areas under a curve. The more general problem is how to do this when you don't have any data that fall on the margins of the regions you wish to shade. Here is more solution to that more general problem.","","publish;TRUE","/2013/01/11/shading-regions-under-a-curve/","R","Area under a curve|Graphics|Plotting|Polygon|R",FALSE,0
"archive/generated-markdown/2013-01-12-decluttering-ordination-plots-in-vegan-part-1-ordilabel.md","2013/01/12/decluttering-ordination-plots-in-vegan-part-1-ordilabel/index.qmd","/2013/01/12/decluttering-ordination-plots-in-vegan-part-1-ordilabel/","Decluttering ordination plots in vegan part 1: ordilabel()","","","","","publish;TRUE","/2013/01/12/decluttering-ordination-plots-in-vegan-part-1-ordilabel/","R","Biplot|Graphics|Ordination|PCA|Plotting|vegan|R",FALSE,0
"archive/generated-markdown/2013-01-13-decluttering-ordination-plots-in-vegan-part-2-orditorp.md","2013/01/13/decluttering-ordination-plots-in-vegan-part-2-orditorp/index.qmd","/2013/01/13/decluttering-ordination-plots-in-vegan-part-2-orditorp/","Decluttering ordination plots in vegan part 2: orditorp()","","","","","publish;TRUE","/2013/01/13/decluttering-ordination-plots-in-vegan-part-2-orditorp/","R","Graphics|Ordination|PCA|R|vegan",FALSE,0
